阳泉煤业	600348	15:07	7.05	2.47%	短线追击	
汇顶科技	603160	15:07	129.40	5.75%	成交额大于500	
省广股份	002400	15:06	6.01	3.62%	短线追击	
剑桥科技	603083	15:05	56.19	10.00%	成交额大于500	
吉比特	603444	15:05	237.70	2.70%	成交额大于500	
海源机械	002529	15:04	16.90	4.58%	绝杀2	
国光股份	002749	15:04	81.20	6.66%	成交额大于500	
鸿特精密	300176	15:03	112.80	6.52%	成交额大于500	
快乐购	300413	15:03	27.00	0.15%	涨停敢死队	
地尔汉宇	300403	15:03	15.62	2.76%	短线追击	
寒锐钴业	300618	15:03	236.20	2.56%	成交额大于500	
精测电子	300567	15:03	133.29	4.21%	成交额大于500	
理工光科	300557	15:03	43.07	10.01%	短线追击	
中新赛克	002912	15:03	57.93	10.01%	成交额大于500	
