移为通信	300590	14:58	68.38	0.44%	分时放量	
爱康科技	002610	14:55	3.28	5.13%	分时放量	
龙韵股份	603729	14:53	75.33	4.55%	分时放量	
双环科技	000707	14:53	9.09	-0.55%	分时放量	
五 粮 液	000858	14:53	41.21	5.80%	分时放量	
中通客车	000957	14:53	15.50	4.73%	分时放量	
智云股份	300097	14:52	55.48	0.98%	分时放量	
今天国际	300532	14:51	58.97	0.60%	分时放量	
日月股份	603218	14:50	42.54	1.53%	分时放量	
晨鸣纸业	000488	14:50	12.82	4.65%	分时放量	
金禾实业	002597	14:49	18.88	3.28%	分时放量	
山西汾酒	600809	14:47	28.83	6.11%	分时放量	
吉林化纤	000420	14:47	4.31	3.61%	分时放量	
大庆华科	000985	14:43	32.90	2.43%	分时放量	
长久物流	603569	14:40	37.35	1.36%	分时放量	
搜于特	002503	14:39	13.43	0.37%	分时放量	
东易日盛	002713	14:39	24.10	4.01%	分时放量	
博信股份	600083	14:38	21.21	-2.57%	分时放量	
武昌鱼	600275	14:38	14.84	0.34%	分时放量	
博汇纸业	600966	14:38	5.21	3.99%	分时放量	
金岭矿业	000655	14:37	10.30	4.04%	分时放量	
现代投资	000900	14:37	9.13	6.04%	分时放量	
英维克	002837	14:36	55.00	-0.79%	分时放量	
天瑞仪器	300165	14:36	9.72	2.32%	分时放量	
开元仪器	300338	14:35	22.29	0.45%	分时放量	
*ST山水	600234	14:35	18.45	-1.39%	分时放量	
华泰股份	600308	14:35	6.51	6.72%	分时放量	
青松建化	600425	14:35	7.28	0.28%	分时放量	
三维工程	002469	14:33	10.04	3.83%	分时放量	
西藏药业	600211	14:32	51.80	1.39%	分时放量	
超声电子	000823	14:27	13.60	4.86%	分时放量	
欧普康视	300595	14:25	96.00	-1.69%	分时放量	
古鳌科技	300551	14:25	58.99	1.27%	分时放量	
同益股份	300538	14:25	64.84	3.08%	分时放量	
荣晟环保	603165	14:24	39.79	3.38%	分时放量	
能科股份	603859	14:24	64.50	7.45%	分时放量	
秦川机床	000837	14:24	10.02	2.45%	分时放量	
中青宝	300052	14:23	27.05	4.56%	分时放量	
集智股份	300553	14:22	76.40	1.76%	分时放量	
水井坊	600779	14:21	22.52	7.65%	分时放量	
汉商集团	600774	14:21	23.50	4.44%	分时放量	
美晨科技	300237	14:19	15.92	-1.30%	分时放量	
慈星股份	300307	14:19	10.40	3.59%	分时放量	
集友股份	603429	14:18	62.38	-0.08%	分时放量	
金一文化	002721	14:16	17.72	8.05%	分时放量	
正业科技	300410	14:16	42.39	-0.24%	分时放量	
乐心医疗	300562	14:16	133.00	5.73%	分时放量	
雪峰科技	603227	14:14	9.19	2.00%	分时放量	
江山欧派	603208	14:14	61.00	5.90%	分时放量	
森马服饰	002563	14:13	9.94	4.08%	分时放量	
花园生物	300401	14:13	33.80	-2.87%	分时放量	
赤天化	600227	14:09	7.28	4.15%	分时放量	
天虹商场	002419	14:07	14.85	6.07%	分时放量	
通达股份	002560	14:07	13.20	1.07%	分时放量	
广汇汽车	600297	14:06	9.73	5.30%	分时放量	
中天能源	600856	14:05	11.41	0.09%	分时放量	
渝 开 发	000514	14:04	14.58	4.44%	分时放量	
新华联	000620	14:04	8.28	4.15%	分时放量	
国元证券	000728	14:04	20.34	2.06%	分时放量	
汇中股份	300371	14:03	27.60	2.07%	分时放量	
岳阳林纸	600963	14:02	8.72	4.68%	分时放量	
鸿博股份	002229	14:01	22.90	6.17%	分时放量	
姚记扑克	002605	14:00	16.72	3.08%	分时放量	
金冠电气	300510	13:59	31.66	3.06%	分时放量	
中原证券	601375	13:58	11.32	2.82%	分时放量	
ST亚太	000691	13:58	9.31	1.53%	分时放量	
太阳电缆	002300	13:57	15.09	1.55%	分时放量	
中电广通	600764	13:55	31.44	2.48%	分时放量	
天兴仪表	000710	13:55	41.78	2.55%	分时放量	
达 意 隆	002209	13:54	17.74	-3.11%	分时放量	
世纪游轮	002558	13:54	76.00	8.15%	分时放量	
万孚生物	300482	13:53	68.50	3.71%	分时放量	
泛微网络	603039	13:52	75.50	-0.32%	分时放量	
如通股份	603036	13:52	42.15	4.98%	分时放量	
中国武夷	000797	13:51	18.80	4.50%	分时放量	
汉鼎宇佑	300300	13:50	19.24	3.05%	分时放量	
南京银行	601009	13:49	12.45	4.89%	分时放量	
北辰实业	601588	13:49	4.72	5.83%	分时放量	
华锦股份	000059	13:48	14.36	4.74%	分时放量	
道明光学	002632	13:47	11.26	2.09%	分时放量	
上海银行	601229	13:42	24.90	5.02%	分时放量	
风华高科	000636	13:42	11.41	4.78%	分时放量	
唐人神	002567	13:41	12.65	4.98%	分时放量	
百傲化学	603360	13:39	33.88	8.00%	分时放量	
石英股份	603688	13:39	23.53	-0.04%	分时放量	
雅百特	002323	13:38	19.79	10.01%	分时放量	
美 欣 达	002034	13:32	51.45	3.11%	分时放量	
龙大肉食	002726	13:31	19.30	1.53%	分时放量	
百川股份	002455	13:28	12.94	5.72%	分时放量	
道恩股份	002838	13:27	52.76	4.48%	分时放量	
中闽能源	600163	13:27	6.11	4.98%	分时放量	
石基信息	002153	13:25	23.62	1.59%	分时放量	
江苏银行	600919	13:23	10.47	5.02%	分时放量	
银座股份	600858	13:23	10.93	6.43%	分时放量	
中国银河	601881	13:23	13.99	0.36%	分时放量	
正裕工业	603089	13:22	41.55	-6.10%	分时放量	
镇海股份	603637	13:22	40.96	5.24%	分时放量	
延华智能	002178	13:22	11.17	6.38%	分时放量	
中葡股份	600084	13:20	11.50	1.77%	分时放量	
华安证券	600909	13:19	12.26	-1.05%	分时放量	
歌力思	603808	13:19	28.54	-1.89%	分时放量	
道森股份	603800	13:19	37.45	4.52%	分时放量	
法兰泰克	603966	13:19	29.80	-5.31%	分时放量	
兔 宝 宝	002043	13:18	12.46	5.68%	分时放量	
第一创业	002797	13:18	31.24	0.26%	分时放量	
哈高科	600095	13:17	13.45	7.26%	分时放量	
鑫茂科技	000836	13:15	7.41	0.68%	分时放量	
准油股份	002207	13:15	18.80	3.41%	分时放量	
新宝股份	002705	13:15	18.09	4.21%	分时放量	
特变电工	600089	13:14	10.57	4.86%	分时放量	
京投发展	600683	13:13	9.35	2.75%	分时放量	
天夏智慧	000662	13:12	19.65	3.42%	分时放量	
易明医药	002826	13:11	25.91	0.43%	分时放量	
江阴银行	002807	13:11	15.96	-4.83%	分时放量	
伊力特	600197	13:10	18.08	6.73%	分时放量	
柳 工	000528	13:09	9.04	7.36%	分时放量	
张家港行	002839	13:08	17.39	-2.41%	分时放量	
精伦电子	600355	13:07	9.65	2.99%	分时放量	
杭州银行	600926	13:06	22.50	5.98%	分时放量	
新通联	603022	13:06	27.72	2.10%	分时放量	
亚振家居	603389	13:06	22.87	3.48%	分时放量	
华铁科技	603300	13:06	24.34	1.54%	分时放量	
鄂武商Ａ	000501	13:06	22.91	4.71%	分时放量	
安妮股份	002235	13:05	14.25	2.44%	分时放量	
中远海特	600428	13:04	7.37	6.81%	分时放量	
贵阳银行	601997	13:03	17.63	5.32%	分时放量	
华正新材	603186	13:03	36.50	2.27%	分时放量	
八菱科技	002592	13:02	30.95	7.09%	分时放量	
西藏天路	600326	13:00	11.36	0.98%	分时放量	
新疆城建	600545	13:00	13.09	4.14%	分时放量	
天富能源	600509	13:00	8.56	3.88%	分时放量	
新疆天业	600075	11:54	14.31	9.99%	分时放量	
联美控股	600167	11:54	20.66	3.20%	分时放量	
祁连山	600720	11:53	10.09	6.32%	分时放量	
百联股份	600827	11:53	17.82	10.00%	分时放量	
福建水泥	600802	11:53	11.79	9.98%	分时放量	
无锡银行	600908	11:53	12.72	8.35%	分时放量	
常熟银行	601128	11:53	11.95	5.66%	分时放量	
建设机械	600984	11:53	9.76	10.03%	分时放量	
安德利	603031	11:53	53.98	1.83%	分时放量	
中通国脉	603559	11:53	52.34	4.58%	分时放量	
宏辉果蔬	603336	11:53	51.86	5.97%	分时放量	
吴江银行	603323	11:53	17.37	10.01%	分时放量	
中润资源	000506	11:53	9.00	0.45%	分时放量	
湖南投资	000548	11:52	11.05	7.28%	分时放量	
中信国安	000839	11:52	9.79	5.61%	分时放量	
云铝股份	000807	11:52	7.70	4.05%	分时放量	
海信科龙	000921	11:52	12.51	8.12%	分时放量	
双鹭药业	002038	11:52	28.50	8.57%	分时放量	
北新路桥	002307	11:52	13.88	4.60%	分时放量	
摩恩电气	002451	11:52	19.99	8.64%	分时放量	
泰嘉股份	002843	11:51	33.10	-2.88%	分时放量	
达刚路机	300103	11:51	22.57	4.49%	分时放量	
华灿光电	300323	11:51	11.84	10.04%	分时放量	
