博信股份	600083	16:15	21.40	-1.70%	分时放量	
新疆天业	600075	16:15	14.31	9.99%	分时放量	
西藏药业	600211	16:15	52.70	3.15%	分时放量	
长春燃气	600333	16:15	9.41	3.41%	分时放量	
武昌鱼	600275	16:15	14.88	0.61%	分时放量	
中远海特	600428	16:15	7.59	10.00%	分时放量	
福建水泥	600802	16:14	11.79	9.98%	分时放量	
水井坊	600779	16:14	22.49	7.50%	分时放量	
中电广通	600764	16:14	32.07	4.53%	分时放量	
岳阳林纸	600963	16:14	9.16	9.96%	分时放量	
杭州银行	600926	16:14	23.13	8.95%	分时放量	
银座股份	600858	16:14	11.30	10.03%	分时放量	
中天能源	600856	16:14	12.20	7.02%	分时放量	
中天能源	600856	16:14	12.20	7.02%	盘中预警指标	
无锡银行	600908	16:14	12.91	9.97%	分时放量	
常熟银行	601128	16:14	12.44	9.99%	分时放量	
建设机械	600984	16:14	9.76	10.03%	分时放量	
荣晟环保	603165	16:14	40.13	4.26%	分时放量	
如通股份	603036	16:14	43.40	8.09%	分时放量	
长久物流	603569	16:14	37.46	1.66%	分时放量	
亚振家居	603389	16:14	23.45	6.11%	分时放量	
吴江银行	603323	16:14	17.37	10.01%	分时放量	
日月股份	603218	16:14	43.38	3.53%	分时放量	
江山欧派	603208	16:14	63.36	10.00%	分时放量	
能科股份	603859	16:14	65.06	8.38%	分时放量	
龙韵股份	603729	16:14	75.61	4.94%	分时放量	
渝 开 发	000514	16:14	14.75	5.66%	分时放量	
中润资源	000506	16:14	9.86	10.04%	分时放量	
五 粮 液	000858	16:14	41.40	6.29%	分时放量	
五 粮 液	000858	16:14	41.40	6.29%	盘中预警指标	
达 意 隆	002209	16:13	18.19	-0.66%	分时放量	
延华智能	002178	16:13	11.46	9.14%	分时放量	
北新路桥	002307	16:13	14.07	6.03%	分时放量	
安妮股份	002235	16:13	15.30	9.99%	分时放量	
雅百特	002323	16:13	19.79	10.01%	分时放量	
百川股份	002455	16:13	13.46	9.97%	分时放量	
摩恩电气	002451	16:13	20.24	10.00%	分时放量	
天虹商场	002419	16:13	14.98	7.00%	分时放量	
天虹商场	002419	16:13	14.98	7.00%	盘中预警指标	
爱康科技	002610	16:13	3.27	4.81%	分时放量	
通达股份	002560	16:13	13.55	3.75%	分时放量	
东易日盛	002713	16:13	25.49	10.01%	分时放量	
泰嘉股份	002843	16:13	33.66	-1.23%	分时放量	
张家港行	002839	16:13	18.93	6.23%	分时放量	
英维克	002837	16:13	56.18	1.33%	分时放量	
江阴银行	002807	16:13	16.40	-2.21%	分时放量	
美晨科技	300237	16:12	16.33	1.24%	分时放量	
华灿光电	300323	16:12	11.84	10.04%	分时放量	
汉鼎宇佑	300300	16:12	20.54	10.02%	分时放量	
正业科技	300410	16:12	43.23	1.74%	分时放量	
汇中股份	300371	16:12	29.74	9.99%	分时放量	
金冠电气	300510	16:12	32.55	5.96%	分时放量	
