中通国脉	603559	14:56	55.60	5.26%	分时放量	
科士达	002518	14:54	19.58	3.65%	分时放量	
江阴银行	002807	14:54	16.02	-2.32%	分时放量	
陕西黑猫	601015	14:53	10.30	3.94%	分时放量	
中国科传	601858	14:53	17.15	-0.46%	分时放量	
新华联	000620	14:52	8.63	3.73%	分时放量	
民和股份	002234	14:52	19.18	6.67%	盘中预警指标	
诚迈科技	300598	14:50	50.38	1.55%	分时放量	
今世缘	603369	14:49	14.23	5.96%	分时放量	
今世缘	603369	14:49	14.23	5.96%	盘中预警指标	
艾迪精密	603638	14:49	29.00	0.62%	分时放量	
得润电子	002055	14:48	22.38	3.76%	分时放量	
天业通联	002459	14:48	18.38	5.33%	盘中预警指标	
国发股份	600538	14:47	14.40	3.30%	分时放量	
胜利股份	000407	14:46	10.18	7.72%	盘中预警指标	
天原集团	002386	14:45	9.09	2.83%	分时放量	
集友股份	603429	14:43	62.75	1.24%	分时放量	
*ST天首	000611	14:42	9.32	4.72%	分时放量	
民和股份	002234	14:42	18.46	2.67%	分时放量	
皇氏集团	002329	14:42	13.76	4.16%	分时放量	
益生股份	002458	14:42	30.02	7.25%	盘中预警指标	
思美传媒	002712	14:41	27.40	0.66%	分时放量	
胜利股份	000407	14:39	10.29	8.89%	分时放量	
益生股份	002458	14:38	29.30	4.68%	分时放量	
乔治白	002687	14:38	11.75	4.26%	分时放量	
国联水产	300094	14:38	9.55	0.32%	分时放量	
奇精机械	603677	14:36	59.45	1.23%	分时放量	
*ST钒钛	000629	14:36	2.52	3.70%	分时放量	
光迅科技	002281	14:35	79.11	5.34%	分时放量	
光迅科技	002281	14:35	79.11	5.34%	盘中预警指标	
明星电力	600101	14:34	12.16	2.88%	分时放量	
新城控股	601155	14:33	14.51	4.61%	分时放量	
四方冷链	603339	14:33	33.09	2.76%	分时放量	
大亚圣象	000910	14:32	20.65	2.18%	分时放量	
利达光电	002189	14:32	23.85	3.11%	分时放量	
天业通联	002459	14:32	18.30	4.87%	分时放量	
海南瑞泽	002596	14:32	27.75	5.11%	盘中预警指标	
三圣股份	002742	14:31	25.38	8.28%	盘中预警指标	
嘉澳环保	603822	14:30	58.90	1.59%	分时放量	
三圣股份	002742	14:28	24.70	5.38%	分时放量	
阳谷华泰	300121	14:28	17.99	3.51%	分时放量	
恒信移动	300081	14:28	14.34	4.29%	分时放量	
通鼎互联	002491	14:25	15.82	5.61%	分时放量	
通鼎互联	002491	14:25	15.82	5.61%	盘中预警指标	
易尚展示	002751	14:25	42.20	2.63%	分时放量	
太阳鸟	300123	14:25	18.76	-1.93%	分时放量	
天山生物	300313	14:25	18.38	1.72%	分时放量	
暴风集团	300431	14:24	42.38	2.62%	分时放量	
金隅股份	601992	14:23	5.29	5.17%	盘中预警指标	
金隅股份	601992	14:20	5.25	4.37%	分时放量	
盛通股份	002599	14:19	40.88	3.62%	分时放量	
海南瑞泽	002596	14:19	27.66	4.77%	分时放量	
富森美	002818	14:18	56.34	6.12%	分时放量	
中能电气	300062	14:18	33.90	3.42%	分时放量	
飞凯材料	300398	14:18	71.79	1.90%	分时放量	
海螺水泥	600585	14:17	21.59	4.96%	分时放量	
新奥股份	600803	14:17	15.06	5.46%	分时放量	
亚泰集团	600881	14:17	6.46	5.38%	盘中预警指标	
理工光科	300557	13:49	71.56	5.59%	分时放量	
理工光科	300557	13:49	71.56	5.59%	盘中预警指标	
泰山石油	000554	13:48	12.65	5.15%	分时放量	
百川股份	002455	13:47	13.63	2.56%	分时放量	
汉鼎宇佑	300300	13:46	21.04	1.30%	分时放量	
开润股份	300577	13:46	77.68	3.28%	分时放量	
安阳钢铁	600569	13:45	3.88	1.57%	分时放量	
泛微网络	603039	13:45	78.96	3.27%	分时放量	
水晶光电	002273	13:44	22.27	6.56%	盘中预警指标	
联化科技	002250	13:44	16.29	4.83%	分时放量	
雅百特	002323	13:44	20.34	2.78%	分时放量	
双环传动	002472	13:44	11.53	10.02%	分时放量	
海联讯	300277	13:43	12.25	5.69%	盘中预警指标	
山东钢铁	600022	13:43	2.97	2.77%	分时放量	
水晶光电	002273	13:41	22.04	5.45%	分时放量	
积成电子	002339	13:34	19.78	2.65%	分时放量	
福建高速	600033	13:33	3.87	4.31%	分时放量	
浙江东方	600120	13:33	30.18	3.21%	分时放量	
尖峰集团	600668	13:32	19.31	10.03%	分时放量	
华凯创意	300592	13:30	36.47	0.47%	分时放量	
达刚路机	300103	13:27	23.68	5.24%	分时放量	
达刚路机	300103	13:27	23.68	5.24%	盘中预警指标	
北京城建	600266	13:26	14.62	3.39%	分时放量	
金牛化工	600722	13:26	11.50	2.59%	分时放量	
长城汽车	601633	13:25	13.02	4.92%	分时放量	
云铝股份	000807	13:21	7.73	2.52%	分时放量	
河池化工	000953	13:21	14.59	4.89%	分时放量	
江龙船艇	300589	13:20	43.76	-0.34%	分时放量	
会畅通讯	300578	13:20	51.70	-2.64%	分时放量	
方大特钢	600507	13:19	8.32	2.72%	分时放量	
大冶特钢	000708	13:18	14.62	3.39%	分时放量	
诚益通	300430	13:17	44.06	6.66%	盘中预警指标	
耀皮玻璃	600819	13:16	9.61	3.00%	分时放量	
山西汾酒	600809	13:16	30.79	7.81%	分时放量	
山西汾酒	600809	13:16	30.79	7.81%	盘中预警指标	
中电广通	600764	13:16	33.95	5.30%	分时放量	
浙江仙通	603239	13:15	75.02	6.02%	分时放量	
京汉股份	000615	13:15	12.41	3.33%	分时放量	
七星电子	002371	13:14	28.00	3.67%	分时放量	
诚益通	300430	13:14	43.37	4.99%	分时放量	
延华智能	002178	13:11	12.18	4.10%	分时放量	
海联讯	300277	13:10	12.15	4.83%	分时放量	
赛摩电气	300466	13:10	38.84	2.56%	分时放量	
闽东电力	000993	13:08	14.30	4.15%	分时放量	
吉比特	603444	13:06	259.00	1.31%	分时放量	
和胜股份	002824	13:04	47.93	-0.08%	分时放量	
强力新材	300429	13:04	31.20	6.01%	分时放量	
强力新材	300429	13:04	31.20	6.01%	盘中预警指标	
华远地产	600743	13:03	5.00	6.84%	分时放量	
华远地产	600743	13:03	5.00	6.84%	盘中预警指标	
